"Please describe other relevant imaging equipment you use (lighting rigs, book cradles, specialised lenses etc.)"

"Respondents","Response Date","Response Text","Categories"

1,Dec 4 2013 7:47 AM,"Kaiser work station, lighting stand, motorised mount Kowa macro lens (for 3D objects)","",
2,Dec 4 2013 7:16 AM,"Camera stand","",
3,Dec 3 2013 2:22 AM,"Treventus robotic book scanner Zeutschel book scanner  All our imaging systems operate within a formal studio photographic setup, with proper staging support and strobe lighting systems","",
