"Which of the following best describes your role?
(Please select all that apply)"

"Respondents","Response Date","Other (please specify)","Categories"

1,Dec 4 2013 8:14 AM,"Sublibrarian","",
2,Dec 4 2013 7:59 AM,"Librarian with responsibility for Digital Collections","",
3,Dec 4 2013 4:50 AM,"Librarian","",
4,Dec 4 2013 2:19 AM,"Manager of the Central Services Unit, digitisation just one of many responsibilites","",
5,Dec 2 2013 8:14 AM,"Deputy Librarian/Manager with responsibility for digitisation","",
6,Nov 26 2013 1:09 AM,"Sub Librarian","",
