"Please indicate the quantity of material digitised through 3rd-parties in the last 12 months:"

"Respondents","Response Date","Text/Documents (including printed and manuscript):","Categories","Still Images (including photographs, posters, paintings, prints, drawings, maps, musical scores etc.)","Categories","Audio","Categories","Video","Categories","3D Objects","Categories","Other (please specify)","Categories","Not Applicable","Categories"

1,Dec 4 2013 7:55 AM,"16,600","",,,,,,,,,,,,,
2,Dec 4 2013 4:48 AM,"3000 pages approx.","",,,,,,,,,,,,,
3,Dec 3 2013 2:33 AM,"unknown","","unknown","",,,,,,,,,,,
4,Dec 2 2013 8:12 AM,"3,322","","118","",,,,,,,,,,,
5,Nov 26 2013 1:07 AM,"1500 theses","",,,,,,,,,,,,,
