"Type of Scanner (for e.g. drum, flatbed, etc.)"

"Respondents","Response Date","1","Categories","2","Categories","3","Categories","4","Categories"

1,Dec 4 2013 7:43 AM,"Flatbed","","book scanner","",,,,,
2,Dec 4 2013 7:15 AM,"Flatbed","","Scanner (A4)","","Scanner (A4 &A3)","",,,
3,Dec 4 2013 2:06 AM,"Book Scanner","","Flatbed","",,,,,
4,Dec 3 2013 10:08 AM,"Large format","","Book scanner","","Slide and film","",,,
5,Dec 3 2013 2:17 AM,"Flatbed","",,,,,,,
6,Dec 2 2013 8:03 AM,"flatbed","",,,,,,,
