"Please list analogue audio formats handled by your digitisation equipment (for e.g. transcription disc, cassette, vinyl, reel etc.)"

"Respondents","Response Date","Response Text","Categories"

1,Dec 4 2013 2:10 AM,"Cassette","",
