"Please describe the digitisation services provided by your library."

"Respondents","Response Date","Response Text","Categories"

1,Dec 4 2013 8:13 AM,"We offer selective digitisation services to regional cultural heritage institutions (historical societies, museums, etc.) as well as services for members of the academic community.","",
2,Dec 4 2013 2:12 AM,"asdf","",
3,Dec 3 2013 10:20 AM,"Chapter scans for Blackboard.  Scans of archival materials for scholarly researchers and some others.","",
4,Dec 3 2013 2:32 AM,"Some small project work for another public sector institution. We are currently reviewing if we want to repeat the activity but are currently leaning away from this activity as a result of human resource limitations","",
