"Please indicate the image capture software used, for e.g. device specific or dedicated image capture program."

"Respondents","Response Date","Response Text","Categories"

1,Dec 4 2013 8:11 AM,"Digibook (I2S0, Omniscan (Zeutschel), DeltaPix (Infinity X-32)","",
2,Dec 4 2013 7:49 AM,"Our Flatbed scanner uses TUCOS software for image capture","",
3,Dec 4 2013 2:17 AM,"Specific to the scanners","",
4,Dec 3 2013 10:18 AM,"BCS-2, Bookscan Editor, Safer","",
5,Dec 3 2013 2:29 AM,"Phocus Oxygen","",
